ID,Name,Nationality,Overall,Potential,Club
20801,Cristiano Ronaldo,Portugal,94,94,Real Madrid CF
158023,L. Messi,Argentina,93,93,FC Barcelona
190871,Neymar,Brazil,92,94,Paris Saint-Germain
176580,L. Suárez,Uruguay,92,92,FC Barcelona
167495,M. Neuer,Germany,92,92,FC Bayern Munich
188545,R. Lewandowski,Poland,91,91,FC Bayern Munich
193080,De Gea,Spain,90,92,Manchester United
183277,E. Hazard,Belgium,90,91,Chelsea
182521,T. Kroos,Germany,90,90,Real Madrid CF
167664,G. Higuaín,Argentina,90,90,Juventus
155862,Sergio Ramos,Spain,90,90,Real Madrid CF
192985,K. De Bruyne,Belgium,89,92,Manchester City
192119,T. Courtois,Belgium,89,92,Chelsea
184941,A. Sánchez,Chile,89,89,Arsenal
177003,L. Modrić,Croatia,89,89,Real Madrid CF
173731,G. Bale,Wales,89,89,Real Madrid CF
153079,S. Agüero,Argentina,89,89,Manchester City
138956,G. Chiellini,Italy,89,89,Juventus
1179,G. Buffon,Italy,89,89,Juventus
211110,P. Dybala,Argentina,88,93,Juventus
200389,J. Oblak,Slovenia,88,93,Atlético Madrid
194765,A. Griezmann,France,88,91,Atlético Madrid
189509,Thiago,Spain,88,90,FC Bayern Munich
188567,P. Aubameyang,Gabon,88,88,Borussia Dortmund
184344,L. Bonucci,Italy,88,88,Milan
183907,J. Boateng,Germany,88,88,FC Bayern Munich
182493,D. Godín,Uruguay,88,88,Atlético Madrid
178603,M. Hummels,Germany,88,88,FC Bayern Munich
176635,M. Özil,Germany,88,88,Arsenal
167948,H. Lloris,France,88,88,Tottenham Hotspur
164240,Thiago Silva,Brazil,88,88,Paris Saint-Germain
41236,Z. Ibrahimović,Sweden,88,88,Manchester United
9014,A. Robben,Netherlands,88,88,FC Bayern Munich
215914,N. Kanté,France,87,90,Chelsea
199556,M. Verratti,Italy,87,91,Paris Saint-Germain
195864,P. Pogba,France,87,92,Manchester United
190460,C. Eriksen,Denmark,87,91,Tottenham Hotspur
181872,A. Vidal,Chile,87,87,FC Bayern Munich
179813,E. Cavani,Uruguay,87,87,Paris Saint-Germain
176676,Marcelo,Brazil,87,87,Real Madrid CF
171877,M. Hamšík,Slovakia,87,87,Napoli
168651,I. Rakitić,Croatia,87,87,FC Barcelona
168542,David Silva,Spain,87,87,Manchester City
162835,S. Handanovič,Slovenia,87,87,Inter
152729,Piqué,Spain,87,87,FC Barcelona
41,Iniesta,Spain,87,87,FC Barcelona
202126,H. Kane,England,86,90,Tottenham Hotspur
198710,J. Rodríguez,Colombia,86,89,FC Bayern Munich
197781,Isco,Spain,86,90,Real Madrid CF
197445,D. Alaba,Austria,86,88,FC Bayern Munich
192505,R. Lukaku,Belgium,86,90,Manchester United
191043,Alex Sandro,Brazil,86,88,Juventus
189596,T. Müller,Germany,86,86,FC Bayern Munich
189511,Sergio Busquets,Spain,86,86,FC Barcelona
189242,Coutinho,Brazil,86,89,Liverpool
188350,M. Reus,Germany,86,86,Borussia Dortmund
184087,T. Alderweireld,Belgium,86,87,Tottenham Hotspur
179944,David Luiz,Brazil,86,86,Chelsea
179844,Diego Costa,Spain,86,86,Chelsea
178518,R. Nainggolan,Belgium,86,86,Roma
177610,Javi Martínez,Spain,86,86,FC Bayern Munich
175943,D. Mertens,Belgium,86,86,Napoli
172879,Sokratis,Greece,86,86,Borussia Dortmund
168609,Miranda,Brazil,86,86,Inter
165153,K. Benzema,France,86,86,Real Madrid CF
162895,Cesc Fàbregas,Spain,86,86,Chelsea
156616,F. Ribéry,France,86,86,FC Bayern Munich
120533,Pepe,Portugal,86,86,Beşiktaş JK
48940,P. Čech,Czech Republic,86,86,Arsenal
208418,Y. Carrasco,Belgium,85,90,Atlético Madrid
201535,R. Varane,France,85,92,Real Madrid CF
200145,Casemiro,Brazil,85,89,Real Madrid CF
198219,L. Insigne,Italy,85,86,Napoli
193301,A. Lacazette,France,85,88,Arsenal
